# 言葉 → 絵文字の表。1行に1つ、タブ区切りで「絵文字 / 動き / 言葉,言葉,…」。# で始まる行は読み飛ばす。
# 解決の順は (1)手作りの形 (2)この表 (3)絵文字そのもの (4)文字。だから手作りと同じ言葉が入っていてもよい（手作りが勝つ）。
# 言葉はエンジンがひらがな・カタカナ・全角半角・大文字小文字・記号の違いを吸収するので、
# 読みの違うもの・漢字・外来語・英語だけを並べる（「リンゴ」と「りんご」の両方は要らない）。
# 同じ言葉は表全体で1回だけ（先に出た行が勝つ）。絵文字はすべて tools/shapelab.sh で点描を目で確かめてある。
# 動き: swim swimR flap beat breathe float sway hop spin rock wave ripple fly drive launch twinkle flicker chase none

# ---- けもの ----
🐷	float	ぶた,豚,ぴっぐ,pig
🐮	float	うし,牛,かう,cow
🐑	float	ひつじ,羊,しーぷ,sheep
🐐	float	やぎ,山羊,ごーと,goat
🐿	hop	りす,栗鼠,しまりす,squirrel
🦔	float	はりねずみ,針鼠,hedgehog
🐨	breathe	こあら,koala
🦛	float	かば,河馬,hippo
🦏	float	さい,犀,rhino
🐊	swimR	わに,鰐,くろこだいる,ありげーたー,crocodile
🦌	float	しか,鹿,ばんび,でぃあ,deer
🦓	float	しまうま,縞馬,ぜぶら,zebra
🐪	float	らくだ,駱駝,きゃめる,camel
🦙	float	あるぱか,らま,llama
🦘	hop	かんがるー,kangaroo
🐹	float	はむすたー,hamster
🐭	float	ねずみ,鼠,まうす,mouse
🐗	float	いのしし,猪,ぼあ,boar
🦇	flap	こうもり,蝙蝠,ばっと,bat
🦨	float	すかんく,skunk
🐺	float	おおかみ,狼,うるふ,wolf
🦝	float	あらいぐま,洗い熊,raccoon
🦍	float	ごりら,gorilla

# ---- とり ----
🐔	float	にわとり,鶏,めんどり,雌鳥,chicken
🐤	hop	ひよこ,雛,ひな,chick
🦆	swimR	あひる,家鴨,かも,鴨,だっく,duck
🦅	fly	わし,鷲,たか,鷹,いーぐる,eagle
🦚	float	くじゃく,孔雀,ぴーこっく,peacock
🦩	sway	ふらみんご,flamingo
🦜	float	いんこ,おうむ,鸚鵡,parrot
🦢	swim	はくちょう,白鳥,すわん,swan
🕊	fly	はと,鳩,ぴじょん,dove

# ---- むし・は虫類 ----
🦎	float	とかげ,蜥蜴,やもり,lizard
🐌	float	かたつむり,蝸牛,でんでんむし,snail
🐞	float	てんとうむし,天道虫,ladybug
🐜	float	あり,蟻,ant
🕷	float	蜘蛛,すぱいだー,spider
🕸	spin	くものす,蜘蛛の巣,すぱいだーうぇぶ,web
🦂	float	さそり,蠍,scorpion
🪰	fly	はえ,蝿,housefly
🪱	ripple	みみず,蚯蚓,わーむ,worm
🪲	float	かぶとむし,兜虫,甲虫,びーとる,beetle
🐛	ripple	いもむし,芋虫,けむし,毛虫,caterpillar
